no,no_pendaftaran_kipk,no_bantuan_sosial,nama,prodi,nik,no_kartu_keluarga,nisn,asal_sekolah,status_dtsen,jumlah_tanggungan,jumlah_orang_rumah,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,kab_kota,provinsi,alamat,pbb,daya_listrik,no_hp,email,koordinat,latitude,longitude,skor_total,ranking,created_at,status_seleksi,catatan_admin,updated_at,jalur_masuk,hasil_seleksi
,4211571968271899,BAN-00001,Dewi Hadiyah,Teknik Elektro,0000003201000001,0000003271000001,0020040102,SMA Negeri 3 Bandung,Tidak Tersertifikasi,1,4,Petani,Pedagang,600000,400000,Bandung,Jawa Barat,Jl. Diponegoro No. 002,1000000,1300 VA,62-0000000009,kandidat00001@email.com,"-6.2088,-106.8446",-6.2078,-106.8446,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,8509270728810944,BAN-00002,Teguh Anggraini,Sistem Informasi,0000003201000002,0000003271000002,0020040103,SMA Negeri 2 Surabaya,Proses Verifikasi,2,5,Wiraswasta,Karyawan Swasta,700000,500000,Surabaya,Jawa Timur,Jl. Gajah Mada No. 003,2000000,2200 VA,62-0000000010,kandidat00002@email.com,"-6.2088,-106.8436",-6.2068,-106.8436,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,7816071352888798,BAN-00003,Hani Kurniawan,Teknik Mesin,0000003201000003,0000003271000003,0020040104,SMA Negeri 1 Medan,Tersertifikasi,3,6,PNS,PNS,800000,600000,Medan,Sumatera Utara,Jl. Ahmad Yani No. 004,3000000,3600 VA,62-0000000011,kandidat00003@email.com,"-6.2088,-106.8426",-6.2058,-106.8426,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,4191626398829133,BAN-00004,Agus Pratama,Manajemen,0000003201000004,0000003271000004,0020040105,SMA Negeri 5 Semarang,Tidak Tersertifikasi,4,3,Pensiunan,Wiraswasta,900000,700000,Semarang,Jawa Tengah,Jl. Sudirman No. 005,4000000,900 VA,62-0000000012,kandidat00004@email.com,"-6.2088,-106.8416",-6.2048,-106.8416,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,4350575284852364,BAN-00005,Luthfi Oktaviani,Teknik Informatika,0000003201000005,0000003271000005,0020040106,SMA Negeri 2 Yogyakarta,Proses Verifikasi,0,4,Pengusaha,Petani,1000000,800000,Yogyakarta,DI Yogyakarta,Jl. Thamrin No. 006,5000000,1300 VA,62-0000000013,kandidat00005@email.com,"-6.2088,-106.8406",-6.2038,-106.8406,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,5626972214416169,BAN-00006,Fauzan Oktaviani,Teknik Elektro,0000003201000006,0000003271000006,0020040107,SMA Negeri 1 Palembang,Tersertifikasi,1,5,Buruh,Ibu Rumah Tangga,1100000,900000,Palembang,Sumatera Selatan,Jl. Gatot Subroto No. 007,6000000,2200 VA,62-0000000014,kandidat00006@email.com,"-6.2088,-106.8396",-6.2028,-106.8396,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,5717584280629672,BAN-00007,Budi Pratama,Sistem Informasi,0000003201000007,0000003271000007,0020040108,SMA Negeri 4 Makassar,Tidak Tersertifikasi,2,6,Karyawan Swasta,Pedagang,1200000,1000000,Makassar,Sulawesi Selatan,Jl. Jenderal Soedirman No. 008,7000000,3600 VA,62-0000000015,kandidat00007@email.com,"-6.2088,-106.8386",-6.2018,-106.8386,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,8967560188708994,BAN-00008,Galih Wibowo,Teknik Mesin,0000003201000008,0000003271000008,0020040109,SMA Negeri 1 Jakarta,Proses Verifikasi,3,3,Petani,Karyawan Swasta,1300000,1100000,Denpasar,Bali,Jl. Merdeka No. 009,8000000,900 VA,62-0000000016,kandidat00008@email.com,"-6.2088,-106.8376",-6.2008,-106.8376,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,7792275196412390,BAN-00009,Dewi Hasanah,Manajemen,0000003201000009,0000003271000009,0020040110,SMA Negeri 3 Bandung,Tersertifikasi,4,4,Wiraswasta,PNS,1400000,1200000,Banjarmasin,Kalimantan Selatan,Jl. Diponegoro No. 010,9000000,1300 VA,62-0000000017,kandidat00009@email.com,"-6.2088,-106.8366",-6.1998,-106.8366,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,4881962321166250,BAN-00010,Ganda Pratama,Teknik Informatika,0000003201000010,0000003271000010,0020040111,SMA Negeri 2 Surabaya,Tidak Tersertifikasi,0,5,PNS,Wiraswasta,1500000,1300000,Jakarta Pusat,DKI Jakarta,Jl. Gajah Mada No. 011,10000000,2200 VA,62-0000000018,kandidat00010@email.com,"-6.2088,-106.8356",-6.1988,-106.8356,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,9299781173485620,BAN-00011,Dian Permatasari,Teknik Elektro,0000003201000011,0000003271000011,0020040112,SMA Negeri 1 Medan,Proses Verifikasi,1,6,Pensiunan,Petani,1600000,1400000,Bandung,Jawa Barat,Jl. Ahmad Yani No. 012,11000000,3600 VA,62-0000000019,kandidat00011@email.com,"-6.2088,-106.8346",-6.1978,-106.8346,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,8138195672775455,BAN-00012,Dewi Handayani,Sistem Informasi,0000003201000012,0000003271000012,0020040113,SMA Negeri 5 Semarang,Tersertifikasi,2,3,Pengusaha,Ibu Rumah Tangga,1700000,1500000,Surabaya,Jawa Timur,Jl. Sudirman No. 013,12000000,900 VA,62-0000000020,kandidat00012@email.com,"-6.2088,-106.8336",-6.1968,-106.8336,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,7942171328372851,BAN-00013,Maya Wirawan,Teknik Mesin,0000003201000013,0000003271000013,0020040114,SMA Negeri 2 Yogyakarta,Tidak Tersertifikasi,3,4,Buruh,Pedagang,1800000,1600000,Medan,Sumatera Utara,Jl. Thamrin No. 014,13000000,1300 VA,62-0000000021,kandidat00013@email.com,"-6.2088,-106.8326",-6.1958,-106.8326,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,8106999413243496,BAN-00014,Eka Ramadhan,Manajemen,0000003201000014,0000003271000014,0020040115,SMA Negeri 1 Palembang,Proses Verifikasi,4,5,Karyawan Swasta,Karyawan Swasta,1900000,1700000,Semarang,Jawa Tengah,Jl. Gatot Subroto No. 015,14000000,2200 VA,62-0000000022,kandidat00014@email.com,"-6.2088,-106.8316",-6.1948,-106.8316,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,5137721332449067,BAN-00015,Agus Saputra,Teknik Informatika,0000003201000015,0000003271000015,0020040116,SMA Negeri 4 Makassar,Tersertifikasi,0,6,Petani,PNS,2000000,1800000,Yogyakarta,DI Yogyakarta,Jl. Jenderal Soedirman No. 016,15000000,3600 VA,62-0000000023,kandidat00015@email.com,"-6.2088,-106.8306",-6.1938,-106.8306,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,4563271001238387,BAN-00016,Galih Maharani,Teknik Elektro,0000003201000016,0000003271000016,0020040117,SMA Negeri 1 Jakarta,Tidak Tersertifikasi,1,3,Wiraswasta,Wiraswasta,2100000,1900000,Palembang,Sumatera Selatan,Jl. Merdeka No. 017,16000000,900 VA,62-0000000024,kandidat00016@email.com,"-6.2088,-106.8296",-6.1928,-106.8296,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
