No;No. Pendaftaran KIP;Nama Siswa2;Prodi;NIK;No. Kartu Keluarga;NIK Kepala Keluarga;NISN;Status DTKS;Validasi DTKS;Status P3KE;Validasi P3KE;No. KIP;Validasi KIP;No. KKS;Asal Sekolah;Kab/Kota Sekolah;Provinsi Sekolah;Tempat Lahir;Tanggal Lahir;Jenis Kelamin;Alamat Tinggal;No. Handphone;Alamat Email;Alamat IG/ Twitter/ Tiktok;Nama Ayah;Pekerjaan Ayah;Ket. Pekerjaan Ayah;Penghasilan Ayah; Ket. Penghasilan Ayah/ bln ;Status Ayah;Nama Ibu;Pekerjaan Ibu;Ket. Pekerjaan Ibu;Penghasilan Ibu; Ket. Penghasilan Ibu/ bln ;Status Ibu;Wali (jika ada); Penghasilan lain/ bln ;Jumlah Tanggungan;Jml Tanggungan Sebenarnya; Nominal per kapita ;Kepemilikan Rumah;Tahun Perolehan;Sumber Listrik;Luas Tanah;Luas Bangunan;Sumber Air;MCK;Kondisi Rumah;Jarak Pusat Kota (KM);Prestasi;Rekomendasi;Alasan;Nama Pewawancara;Alasan Penguat nanti jadi role model undip
1;1125.203.99925.5095.001;Siswa SNBP 1;S1 KESEHATAN MASYARAKAT;3301198819520454;3302533720231605;3306994366443990;0028579891;Terdata;ada;Terdata: Desil 1;ada;A1B2C8;ada;KKS007;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081211083401;siswa1@gmail.com;ig: @siswa1;Nama Ayah;Buruh Harian;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;968412;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;5604;Hidup;;0;2 Orang;2;487008;Sewa Bulanan;2006;PLN;50-99 M2;< 25 M2;Sungai/Mata Air;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;18;Juara 2 Debat Bahasa Indonesia Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
2;1125.203.99991.7927.001;Siswa SNBP 2;S1 AGROEKOTEKNOLOGI;3304652263325850;3304561834885652;3308395614168805;0071620257;Terdata;ada;Terdata: Desil 4;ada;A1B2C2;ada;KKS009;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081230147765;siswa2@gmail.com;ig: @siswa2;Nama Ayah;Wirausaha;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1426724;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;409727;Hidup;;0;3 Orang;3;612150;Sewa Tahunan;2004;PLN;< 25 M2;< 25 M2;Sumur;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;35;Juara Umum 1 Paralel Sekolah;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Dwi Kurniawan;Siswa SNBP berprestasi, tekad kuat.
3;1125.203.99976.7970.001;Siswa SNBP 3;S1 AGROEKOTEKNOLOGI;3307285751399145;3308436086263417;3306794752972340;0080359274;Belum Terdata;tidak ada;Terdata: Desil 7;tidak ada;-;tidak ada;-;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081287760378;siswa3@gmail.com;ig: @siswa3;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;> Rp. 3.000.000;3954259;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;235389;Hidup;;0;6 Orang;6;698274;Sendiri;2011;PLN;< 25 M2;50-99 M2;Sumur;Kepemilikan Sendiri Diluar;Tidak Layak Menerima Beasiswa;39;Ketua OSIS SMA 2 Periode;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Siska Nurul;Mampu membayar UKT mandiri.
4;1125.203.99972.3973.001;Siswa SNBP 4;S1 KESEHATAN MASYARAKAT;3303085978792202;3302499406762605;3303133177033271;0081499497;Terdata;ada;Terdata: Desil 2;ada;A1B2C5;ada;KKS005;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081288588612;siswa4@gmail.com;ig: @siswa4;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;895395;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;74396;Hidup;;0;2 Orang;2;484895;Sewa Tahunan;1998;PLN;< 25 M2;50-99 M2;Sungai/Mata Air;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;33;Eligible 1 Rumpun Saintek;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Dwi Kurniawan;Siswa SNBP berprestasi, tekad kuat.
5;1125.203.99974.6433.001;Siswa SNBP 5;S1 AKUNTANSI;3301650543489113;3306950455744834;3309679718471484;0037380427;Belum Terdata;tidak ada;Terdata: Desil 5;tidak ada;-;tidak ada;-;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081268214183;siswa5@gmail.com;ig: @siswa5;Nama Ayah;Lainnya;Pekerjaan Detail;> Rp. 3.000.000;6659920;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;449557;Hidup;;0;6 Orang;6;1184912;Sendiri;2017;PLN;< 25 M2;50-99 M2;Sumur;Kepemilikan Sendiri Didalam;Tidak Layak Menerima Beasiswa;42;Juara 1 Lomba KTI Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Budi Santoso;Mampu membayar UKT mandiri.
6;1125.203.99989.3102.001;Siswa SNBP 6;S1 PSIKOLOGI;3309465535387275;3309350790134221;3305009879678157;0091981280;Terdata;ada;Terdata: Desil 4;ada;A1B2C2;ada;KKS005;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081213026404;siswa6@gmail.com;ig: @siswa6;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1103661;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;301240;Hidup;;0;6 Orang;6;234150;Sendiri;2020;PLN;100 - 200 M2;100 - 200 M2;Sungai/Mata Air;Berbagi Pakai;Layak Menerima Beasiswa;33;Juara 2 Debat Bahasa Indonesia Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
7;1125.203.99927.4515.001;Siswa SNBP 7;S1 ILMU HUKUM;3302357675966060;3308661465346697;3305207200496849;0033670264;Terdata;ada;Terdata: Desil 4;ada;A1B2C4;ada;KKS005;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081254308140;siswa7@gmail.com;ig: @siswa7;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1495721;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;38913;Hidup;;0;6 Orang;6;255772;Menumpang;2009;PLN;25-50 M2;25-50 M2;Sungai/Mata Air;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;20;Medali Emas Olimpiade Sains Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Budi Santoso;Siswa SNBP berprestasi, tekad kuat.
8;1125.203.99997.1577.001;Siswa SNBP 8;S1 TEKNIK SIPIL;3305215691668785;3306721501642559;3309868854902360;0058128804;Belum Terdata;tidak ada;Terdata: Desil 7;tidak ada;-;tidak ada;-;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081272034974;siswa8@gmail.com;ig: @siswa8;Nama Ayah;Buruh Harian;Pekerjaan Detail;> Rp. 3.000.000;3515773;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;2923997;Hidup;;0;6 Orang;6;1073295;Sendiri;1998;PLN;100 - 200 M2;25-50 M2;Sumur;Berbagi Pakai;Tidak Layak Menerima Beasiswa;43;Eligible 1 Rumpun Saintek;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Dwi Kurniawan;Mampu membayar UKT mandiri.
9;1125.203.99996.5709.001;Siswa SNBP 9;S1 AGROEKOTEKNOLOGI;3308506684491209;3304469045165504;3302927722332294;0039769051;Terdata;ada;Terdata: Desil 3;ada;A1B2C8;ada;KKS009;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081254314610;siswa9@gmail.com;ig: @siswa9;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;819422;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;230491;Hidup;;0;2 Orang;2;524956;Sewa Bulanan;1990;PLN;50-99 M2;>200 M2;Sumur;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;34;Ketua OSIS SMA 2 Periode;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
10;1125.203.99939.9614.001;Siswa SNBP 10;S1 MANAJEMEN;3301424710640341;3303713269334985;3305806997627818;0094311642;Terdata;ada;Terdata: Desil 3;ada;A1B2C7;ada;KKS001;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081294316283;siswa10@gmail.com;ig: @siswa10;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1141960;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;386503;Hidup;;0;6 Orang;6;254743;Sendiri;2004;PLN;>200 M2;100 - 200 M2;PDAM;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;24;Juara 1 OSN Tingkat Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Dwi Kurniawan;Siswa SNBP berprestasi, tekad kuat.
